fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-08-17,DL,DL_CODESHARE,DL,3452,9E,N349PQ,3452,13487,MSP,"Minneapolis, MN",11986,GRR,"Grand Rapids, MI",710,705,-5,18,723,923,3,938,926,-12,0,,0,N,88,81,60,1,408,,,,,,,,,
2019-01-28,AA,AA_CODESHARE,AA,6002,YV,N933LR,6002,10599,BHM,"Birmingham, AL",11298,DFW,"Dallas/Fort Worth, TX",1251,1256,5,19,1315,1448,14,1500,1502,2,0,,0,N,129,126,93,1,597,,,,,,,,,
2019-12-18,AA,AA,AA,2743,AA,N874NN,2743,11298,DFW,"Dallas/Fort Worth, TX",11540,ELP,"El Paso, TX",1523,1523,0,16,1539,1558,5,1609,1603,-6,0,,0,N,106,100,79,1,551,,,,,,,,,
2019-08-13,DL,DL_CODESHARE,DL,3391,9E,N902XJ,3391,12953,LGA,"New York, NY",11057,CLT,"Charlotte, NC",757,914,77,53,1007,1125,4,1008,1129,81,0,,0,N,131,135,78,1,544,75,0,4,0,2,,,,
2018-05-20,AA,AA_CODESHARE,AA,4603,YX,N407YX,4603,10994,CHS,"Charleston, SC",13303,MIA,"Miami, FL",1850,1844,-6,16,1900,2037,10,2031,2047,16,0,,0,N,101,123,97,1,489,0,0,16,0,0,,,,
2018-07-16,AA,AA,AA,2441,AA,N922NN,2441,11057,CLT,"Charlotte, NC",14683,SAT,"San Antonio, TX",1959,,,,,,,2149,,,1,B,0,N,170,,,1,1095,,,,,,,,,
2018-07-23,WN,WN,WN,2298,WN,N401WN,2298,11042,CLE,"Cleveland, OH",13232,MDW,"Chicago, IL",1740,1751,11,21,1812,1805,3,1750,1808,18,0,,0,N,70,77,53,1,307,0,0,15,0,3,,,,
2019-12-10,AA,AA_CODESHARE,AA,5402,OH,N262PS,5402,14576,ROC,"Rochester, NY",11278,DCA,"Washington, DC",1723,1734,11,32,1806,1919,3,1845,1922,37,0,,0,N,82,108,73,1,296,1,0,26,0,10,,,,
2018-08-02,AA,AA,AA,2291,AA,N963AN,2291,12478,JFK,"New York, NY",11057,CLT,"Charlotte, NC",1700,1703,3,170,1953,2134,12,1925,2146,141,0,,0,N,145,283,101,1,541,0,0,141,0,0,,,,
2019-10-05,NK,NK,NK,717,NK,N532NK,717,14100,PHL,"Philadelphia, PA",13577,MYR,"Myrtle Beach, SC",838,825,-13,22,847,1000,2,1024,1002,-22,0,,0,N,106,97,73,1,473,,,,,,,,,
